artist,title,label,catno,format,price,media_condition,sleeve_condition,weight,place
Miroslav Vitous,Universal Syncopations,"ECM Records, ECM Records","ECM 1863, 038 506-2","CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Olympic Sideburns,The Olympic Sideburns,"New Rose Records, New Rose Records, New Rose Records","ROSE 60, R. 60, free 5","LP, Album, Ltd + 12"", EP",10.0,Very Good Plus (VG+),Very Good Plus (VG+),460,
Oscar Peterson,Great Connection,MPS Records,06024 9827017,"CD, Album, RE, RM",6.0,Mint (M),Very Good Plus (VG+),85,
Red Krayola,Soldier-Talk,Celluloid,LTM 1026,"LP, Album",22.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Riccardo Del Fra,A Sip Of Your Touch,IDA Records,IDA 021 CD,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,
Scorpions,Gold Ballads,Harvest,2603361,"LP, Comp",16.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
"Sir Edward Elgar / Ralph Vaughan Williams – Hilary Hahn, The London Symphony Orchestra, Sir Colin Davis",Violin Concerto / The Lark Ascending,Deutsche Grammophon,474 8732,"SACD, Hybrid, Multichannel",35.0,Mint (M),Near Mint (NM or M-),85,
"Sir Michael Tippett / The BBC National Orchestra Of Wales, Richard Hickox",The Rose Lake • Ritual Dances,Chandos,CHSA 5039,"SACD, Hybrid, Multichannel, Album",20.0,Mint (M),Near Mint (NM or M-),85,
Stan Getz,Anniversary,"EmArcy, Polygram Jazz",838 769-2,"CD, Album",6.0,Mint (M),Near Mint (NM or M-),85,
Stan Getz,Billy Highstreet Samba,EmArcy,838 771 2,"CD, Album",5.0,Mint (M),Near Mint (NM or M-),85,
Stan Getz,Café Montmartre,EmArcy,586 755-2,"CD, Comp",8.0,Mint (M),Near Mint (NM or M-),85,
Stan Getz,Mickey One,Verve Records,531 232-2,"CD, Album, RE, RM",10.0,Mint (M),Very Good Plus (VG+),85,
Stan Getz,Serenity,EmArcy,838 770-2,"CD, Album",7.0,Mint (M),Near Mint (NM or M-),85,
Stan Getz,Stan Getz Plays,Verve Records,833 535-2,"CD, Album, RE, RM",6.0,Mint (M),Near Mint (NM or M-),85,
Stan Getz,West Coast Jazz,Verve Records,557 549-2,"CD, Album, RE, Dig",8.0,Mint (M),Near Mint (NM or M-),85,
Stan Getz / João Gilberto Featuring Antonio Carlos Jobim,Getz / Gilberto,Verve Records,521 414-2,"CD, Album, RE, RM, Dig",9.0,Mint (M),Near Mint (NM or M-),85,
Stan Getz & Chet Baker,The Stockholm Concerts,Verve Records,537 555-2,"3xCD, Comp",22.0,Near Mint (NM or M-),Very Good Plus (VG+),255,
Stefano Bollani,I Visionari,Label Bleu,LBLC 6695/96,"2xCD, Album",8.0,Mint (M),Near Mint (NM or M-),170,
Steve Coleman,Invisible Paths: First Scattering,Tzadik,TZ 7621,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
Steve Coleman And Five Elements,Curves Of Life,"BMG France, RCA",74321 31693 2,"CD, Album",6.0,Mint (M),Near Mint (NM or M-),85,
This Mortal Coil,Filigree & Shadow,4AD,DAD 609,"2xLP, Album",20.0,Very Good Plus (VG+),Very Good Plus (VG+),460,
"Tomás Luis de Victoria : Westminster Cathedral Choir, David Hill",Missa 'Vidi Speciosam',Hyperion,CDA66129,"CD, Album",20.0,Mint (M),Near Mint (NM or M-),85,
"Tomás Luis De Victoria : Westminster Cathedral Choir, David Hill",Tenebrae Responsories,Hyperion,CDA66304,"CD, Album",16.0,Mint (M),Near Mint (NM or M-),85,
Tommaso/Rava Quartet,La Dolce Vita,C.A.M. Jazz,CAMJ 7746-2,"CD, Album",8.0,Mint (M),Very Good (VG),85,
Various,The Enigma Variations Compilation 1988,Enigma Records (3),2095-1,"LP, Comp",10.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
The Vibrators,V2,Epic,EPC 82495,"LP, Album, Ora",20.0,Very Good (VG),Very Good Plus (VG+),230,
Yusef Lateef,Psychicemotus,"Impulse!, Impulse!","B0004270-02, AS-92","CD, Album, RE, RM",12.0,Mint (M),Very Good Plus (VG+),85,
Acid Mothers Temple & The Melting Paraiso UFO,Minstrel In The Galaxy,Riot Season,REPOSELP084,"LP, Album, Ltd, RE",26.0,Mint (M),Mint (M),230,
"Acid Mothers Temple & The Melting Paraiso UFO, Geoff Leigh",Chosen Star Child's Confession,Riot Season,REPOSELP088,"LP, Album, Ltd, Ora",25.0,Mint (M),Mint (M),230,
The Afghan Ensemble,Songs From Afghanistan,ARC Music,EUCD 1841,CD,8.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Au Bonheur Des Dames,Twist,"Mercury, Universal Music France",536 801 - 2,"CD, Album, RE",40.0,Mint (M),Very Good Plus (VG+),85,
Barrio,Play This Only At Night ,Plexus Records (2),PR 06,"LP, Ltd, Num, 500",16.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Bismillah Khan,50 Golden Years of Ustad Bismillah Khan - Shehnai,EMI,CDI PSLP 1478,CD,10.0,Very Good Plus (VG+),Near Mint (NM or M-),85,
Bog-Shed,Tried And Tested Public Speaker,"Shelfish Records, Shelfish Records","SHELF 3, Shelfish 3","12"", EP",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Bud Powell,The Scene Changes,Blue Note,7243 5 91897 2 7,"CD, Album, Copy Prot., RE, RM",8.0,Mint (M),Near Mint (NM or M-),85,
Charles Lloyd,Voice In The Night,"ECM Records, BMG Classics","ECM 1674, 78118-21674-2",CD,6.0,Mint (M),Near Mint (NM or M-),85,
"Chick Corea, Stanley Clarke & Lenny White",Forever,Concord Records,888072326279,"2xCD, Album",12.0,Near Mint (NM or M-),Near Mint (NM or M-),170,
Dizzy Gillespie - Sonny Stitt - Sonny Rollins,Sonny Side Up,Verve Records,825 674-2,"CD, Album, RE, RM",9.0,Mint (M),Near Mint (NM or M-),85,
Don Cherry / Ed Blackwell,El Corazón,"ECM Records, ECM Records","ECM 1230, 829 199-2","CD, Album, RE",22.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Duke Ellington,Money Jungle,Blue Note,BT 85129,"LP, Album, RE, RM",30.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Ebo Taylor,Twer Nyame,"Mr Bongo, Philips","MRBLP131, 6354 017","LP, Album, RE",20.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Eighties Ladies,Ladies Of The Eighties,"Universal Sound, Uno Melodic Records",US LP33,"LP, Album, RE",30.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Elmore James,The Definitive Elmore James,Not Now Music,NOT2LP190,"2xLP, Comp, Gat",25.0,Near Mint (NM or M-),Near Mint (NM or M-),460,
Elton John,Honky Château,DJM Records (2),503006,"LP, Album, RE, Gat",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Eric Dolphy,Out To Lunch!,Blue Note,7243 4 98793 2 4,"CD, Album, RE, RM",8.0,Mint (M),Near Mint (NM or M-),85,
The Five Americans,Western Union,"Eva (8), Eva (8)","12050, EVA 12050","LP, Album, Mono, RE",18.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Franco Ambrosetti,European Legacy,Enja Records,ENJ-9429 2,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Greyboy,Soul Mosaic,Ubiquity,URLP144,"2xLP, Album",28.0,Very Good Plus (VG+),Very Good Plus (VG+),460,
Iris (19),Litanies,Connection (2),CTN 69 561,"LP, Album",40.0,Very Good (VG),Very Good (VG),230,
Irmin Schmidt,Villa Wunderbar / A Selection,"Spoon Records, Mute Artists Ltd.","SPOON57/58, 5400863018009","4xLP, Comp, Cle",36.0,Mint (M),Mint (M),920,
Italian Instabile Orchestra,Litania Sibilante,Enja Records,ENJ-9405 2,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,
"Larry Carlton, Steve Lukather","No Substitutions ""Live In Osaka""",Favored Nations,FN 20602,"CD, Album",12.0,Mint (M),Very Good Plus (VG+),85,
Larry Williams (3),Here's Larry Williams,Specialty,SPCD 2109-2,"CD, Album, Mono, RE, RM",9.0,Mint (M),Near Mint (NM or M-),85,
The Leaves,Hey Joe,Line Records,LLP 5144 AS,"LP, Album, RE",20.0,Near Mint (NM or M-),Very Good (VG),230,
Leonard Cohen,Live Songs,"CBS, CBS","CBS 32272, 32272","LP, Album, RE",18.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Leonard Cohen,You Want It Darker,Columbia,88985365072,"CD, Album, Dig",15.0,Mint (M),Near Mint (NM or M-),85,
Les Missiles,L'integrale Sixties,Magic Records (2),5207592,"2xCD, Comp, RM",35.0,Mint (M),Near Mint (NM or M-),170,
Lester Young / Charlie Parker / Dizzy Gillespie,Early Modern: 1946 Concert Recordings,Carrere,CA 800 98.171,"CD, Comp, RE",15.0,Mint (M),Mint (M),85,
Lester Young / Harry Edison,Pres & Sweets,Verve Records,849 391-2,"CD, Album, Comp, RE",6.0,Mint (M),Near Mint (NM or M-),85,
Lester Young With The Oscar Peterson Trio,Lester Young With The Oscar Peterson Trio,"Verve Records, Verve Records","521 451-2, MG N-5","CD, Comp, RE, RM, Dig",14.0,Mint (M),Near Mint (NM or M-),85,
The Lester Young-Teddy Wilson Quartet,Pres And Teddy,Verve Records,831 270-2,"CD, Album, RE",8.0,Mint (M),Near Mint (NM or M-),85,
Louis Sclavis,Dans La Nuit,"ECM Records, ECM Records","ECM 1805, 589 524-2","CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,
Louis Sclavis,L'Imparfait Des Langues,"ECM Records, ECM Records","ECM 1954, 987 7897","CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,
Louis Sclavis,Lost On The Way,"ECM Records, ECM Records","ECM 2098, 179 8497","CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,
Louis Sclavis,Napoli's Walls,"ECM Records, ECM Records","ECM 1857, 038 504-2","CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,
Louis Sclavis Quintet,L'Affrontement Des Prétendants,"ECM Records, ECM Records","ECM 1705, 159 927-2","CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,
Louis Sclavis Sextet,Ellington On The Air,IDA Records,IDA 032 CD,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
Louis Sclavis Sextet,Les Violences De Rameau,"ECM Records, ECM Records","ECM 1588, 533 128-2","CD, Album",13.0,Mint (M),Near Mint (NM or M-),85,
Manfred Mann,Mann Made,"EMI, EMI","7243 8 56577 2 6, DORIG 119","CD, Album, RM, Dig",13.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Manu Dibango,Afrijazzy,Soul Paris Records,5900,"LP, Album",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Martin Circus,Acte II,"Culture Factory, Disques Vogue","780 019, SLVLX 595","2xCD, Album, Ltd, RE, RM",18.0,Near Mint (NM or M-),Near Mint (NM or M-),170,
The Merseybeats,The Merseybeats,Fontana,842 761-2,"CD, Album, RE",15.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
The Michel Petrucciani Trio,Pianism,Blue Note,BT 85124,"LP, Album",18.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
"Miles Davis + 19 , Orchestra Under The Direction Of Gil Evans",Miles Ahead,"CBS, CBS, CBS","62 496, 62496, S 62496","LP, Album, RE",25.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
The Miles Davis Quintet,Miles Smiles,"CBS, CBS","S 62 933, S 62.933","LP, Album",30.0,Very Good Plus (VG+),Good Plus (G+),230,
The Monty Alexander Trio,Montreux Alexander - Live! At The Montreux Festival,MPS Records,817 487-1,LP,10.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Nino Ferrer,L'Intégrale Des Enregistrements Studio & Live,"Barclay, Universal Music France",374 702-5,"Box, Comp + 9xCD, Album, RE, RM + 5xCD, Comp, RM",40.0,Mint (M),Mint (M),1420,
Orchestra Baobab,Viva Bawobab S1/ Si Bou Odja,Stern's Music,SYLREC 0420,"LP, Ltd, RE, (18",26.0,Mint (M),Mint (M),230,
Orchestre International Akweza De Libreville,Orchestre International Akweza De Libreville,African,360.123,LP,25.0,Very Good (VG),Very Good (VG),230,
Pino Minafra,Sudori,Les Disques Victo,VICTO cd034,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Pleasure (4),Future Now,Fantasy,F-9578,"LP, Album, Gat",25.0,Very Good Plus (VG+),Very Good (VG),230,
The Pretty Things,Get The Picture?,Repertoire Records,REP 4928,"CD, Album, Enh, RE, RM, Dig",8.0,Mint (M),Near Mint (NM or M-),85,
The Pretty Things,The Pretty Things,Repertoire Records,REP 4927,"CD, Album, Enh, RE, RM, Dig",10.0,Mint (M),Near Mint (NM or M-),85,
The Primitives (2),Mr. Heartache,LCD,13-2,"CD, Comp, Ltd",20.0,Mint (M),Mint (M),85,
Quartetto Vocale Giovanna Marini,"""Partenze"" Vent'anni Dopo La Morte Di Pier Paolo Pasolini",Auvidis Silex,Y 225065,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,
Return To Forever,Romantic Warrior,"Columbia, Legacy",CK 65524,"CD, Album, RE, RM",7.0,Mint (M),Near Mint (NM or M-),85,
"Salif Keita, Les Ambassadeurs Internationaux",Mandjou,"Celluloid, Tangent",CEL 6721,LP,25.0,Very Good (VG),Very Good (VG),230,
Sam The Sham & The Pharaohs,French 60's EP Collection,Magic Records (2),3930793,"CD, Comp",40.0,Mint (M),Near Mint (NM or M-),85,
Small Faces,Small Faces,Deram,POCD-1908,"CD, Album, RE",25.0,Mint (M),Mint (M),85,
Smithlord,Symbole D'Autorité,Müsic'Al,OM 67014,"LP, Album",40.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Stanley Clarke,School Days,Epic,EPC 450402 2,"CD, Album, RE",10.0,Mint (M),Very Good Plus (VG+),85,
The Sun Ra Arkestra,My Brother The Wind Vol. 1,Cosmic Myth Records,CMR002,"2xLP, Album, RE, RM",39.0,Near Mint (NM or M-),Near Mint (NM or M-),460,
Triangle (3),Triangle,"Culture Factory, Pathé, Pathé","780 043, 2 C 064-11836, 2C 064 - 11.836","CD, Album, Ltd, RE, RM",20.0,Mint (M),Near Mint (NM or M-),85,
Various,After Midnight,Rockafeller Records,US 7009,"LP, Comp",20.0,Near Mint (NM or M-),Very Good (VG),230,
Various,"Jamaica Jazz From Federal Records (Carib Roots, Jazz, Mento, Latin, Merengue & Rhumba 1960​-​1968)","Dub Store Records, Federal Records (3)",DSR LP 023,"2xLP, Comp",34.0,Mint (M),Mint (M),460,
Various,Les Disques Motors,Les Disques Motors,FDM 46050 362732,"3xCD, Comp, Dig",15.0,Very Good Plus (VG+),Very Good Plus (VG+),255,
Various,Music From Do The Right Thing - A Spike Lee Joint,Motown,B0022392-01,"LP, Album, RE",22.0,Mint (M),Mint (M),230,
Various,The Jivin' Novelty Party Record,Rockafeller Records,US 7006,"LP, Comp",18.0,Near Mint (NM or M-),Good Plus (G+),230,
Various,The Train To Disaster,LSD (2),Trip Two,"LP, Comp",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Weather Report,Black Market,"Columbia, Columbia, Legacy","507658 2, COL 507658 2, 5076582000","CD, Album, RE, RM, 24-",8.0,Mint (M),Near Mint (NM or M-),85,
Weather Report,Live & Unreleased,"Columbia, Legacy",508058 2,"2xCD, Comp, RM",11.0,Mint (M),Near Mint (NM or M-),170,
Weather Report,Mr. Gone,Columbia,468208 2,"CD, Album, RE, RM, RP",8.0,Mint (M),Near Mint (NM or M-),85,
Weather Report,Night Passage,"Columbia, Columbia","468211 2, COL 468211 2","CD, Album, RE, RM",8.0,Mint (M),Near Mint (NM or M-),85,
Akosh S. Unit,Lenne,Universal Music Jazz France,018-040-2,"CD, Album",17.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
AMM,Live In Allentown USA,Matchless Recordings,MRCD30,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,box2/boutique
André Malraux,Discours,"Fnac Music, INA, NRF (Nouvelle Revue Française)","JM 018/19, none","2xCD, Comp, Ltd, Promo",12.0,Mint (M),Very Good Plus (VG+),170,"box2
"
Banda Ionica,Passione,Felmay,FY8007,"CD, Album",5.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Barry Guy New Orchestra,Inscape - Tableaux,Intakt Records,Intakt CD 066,"CD, Album",10.0,Mint (M),Mint (M),85,Box1/Boutique
"Barry Guy, London Jazz Composers Orchestra, Irene Schweizer",Theoria,"Intakt Records, Intakt Records","Intakt CD 024, Intakt CD 024/1992",CD,9.0,Near Mint (NM or M-),Near Mint (NM or M-),85,box1/bout
Bheki Mseleku,Meditations,Samadhi,SA CD 001,"CD, Album",10.0,Mint (M),Very Good Plus (VG+),85,Box5/Boutique
Chuck Berry,San Francisco Dues,Chess,CH 50014,"LP, Album",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Conrad Bauer - Peter Kowald - Günter Sommer,Between Heaven And Earth,Intakt Records,Intakt CD 079,"CD, Album",16.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
Date Bait,I Split On Your Grave,New Rose Records,ROSE 198,"LP, Album",18.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Donnisulana,Per Agata,Silex,Y225019,"CD, Album",5.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Elvis Presley,It's Only Love / The Sound Of Your Cry,RCA Victor,49836,"7""",5.0,Very Good (VG),Very Good (VG),60,
eRikm,Zygosis,Sonoris,SON - 06,"CD, Album",6.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box5/Boutique
Evan Parker / Barry Guy / Paul Lytton,Zafiro,"Maya Recordings, Maya Recordings","MCD0602, MCD 0602","CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
The Fatal Flowers,Johnny D. Is Back!,"WEA, SOM Recordings",242 333-1,"LP, Album, Gat",14.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Freakwater,Your Goddamned Mouth,1 1/4 York,1 1/4 York 002,"7"", Single, Col",9.0,Near Mint (NM or M-),Very Good Plus (VG+),60,
Fred Frith Trio,Another Day In Fucking Paradise,Intakt Records,Intakt CD 267,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
Full Blast (2),Black Hole,Atavistic,ALP187CD,"CD, Album",14.0,Mint (M),Mint (M),85,Box4/Boutique
Gamelan Orchestra Of The Yogyakarta Royal Palace,Java (Palais Royal De Yogyakarta - Musique De Concert),Ocora,558598,"LP, Album",20.0,Mint (M),Very Good Plus (VG+),230,
George Winston,Autumn,Windham Hill Records,AMWH 61012,"LP, Album",12.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
George Winston,Winter Into Spring,"Windham Hill Records, A&M Records",AMWH 61019,"LP, Album",12.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Ghostface Killah,The Lost Tapes,Daupe!,DM-SP-039,"LP, Album, Ltd, Num",24.0,Mint (M),Mint (M),230,
Hoodoo Gurus,Axegrinder,"RCA Victor, RCA Victor","105 071, 105071","7"", Single",7.0,Near Mint (NM or M-),Near Mint (NM or M-),60,
Hoodoo Gurus,Come Anytime,RCA,PB 49345,"7"", Single, Ltd, Gat",14.0,Near Mint (NM or M-),Very Good Plus (VG+),60,
Irene Schweizer,First Choice – Piano Solo KKL Luzern,Intakt Records,Intakt CD 108,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Iva Bittová,Ne Nehledej,Ariola,74321 24858 2,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
James Blood Ulmer,Birthright,Hyena Records,TMF 9335,"CD, Album",7.0,Mint (M),Very Good Plus (VG+),85,Box5/Boutique
Johann Sebastian Bach - Pablo Casals,6 Suiten Für Violoncello = Les 6 Suites Pour Violoncelle = The 6 Cello Suites,EMI,CHS 7 61027 2,"2xCD, Album, Mono, RM",15.0,Mint (M),Near Mint (NM or M-),170,bo5//boutique
John Zorn - Masada String Trio,Haborym (Book Of Angels Volume 16),Tzadik,TZ 7384,"CD, Album",16.0,Mint (M),Near Mint (NM or M-),85,
Jon Rose,The Fence,ReR Megacorp,ReR JR5,"CD, Album",7.0,Mint (M),Near Mint (NM or M-),85,box2/boutique
Jon Rose,Violin Music In The Age Of Shopping,Intakt Records,Intakt CD 038,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,box1
Keiji Haino / Shoji Hano / Peter Brötzmann,Shadows = 影,DIW,DIW-938,"CD, Album",40.0,Mint (M),Near Mint (NM or M-),85,box7/boutique
Keith Jarrett,Arbour Zena,ECM Records,818 889-1,"LP, Album, RE",12.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Kenyon Hopkins / Ray Heindorf & His Orchestra," La Poupée De Chair (Bande Originale Du Film ""Baby Doll"")",Philips,429.259 BE,"7"", EP",12.0,Very Good Plus (VG+),Very Good Plus (VG+),60,
Liz Story,Solid Colors,"Windham Hill Records, A&M Records","WH 1023, AMWH 61023","LP, Album",10.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Louis Moholo Duets With Marilyn Crispell,Sibanye (We Are One),Intakt Records,Intakt CD 145,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Louis Sclavis,Clarinettes,IDA Records,IDA 004CD,"CD, Album",11.0,Mint (M),Near Mint (NM or M-),85,BOX1/BOUTIQUE
Louis Sclavis,Napoli's Walls,"ECM Records, ECM Records","ECM 1857, 038 504-2","CD, Album",11.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
Louis Sclavis Quintet,Rouge,"ECM Records, ECM Records","ECM 1458, 511 929-2","CD, Album",11.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
Louis Sclavis Septet,Chamber Music,IDA Records,IDA 022 CD,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,BOX1/BOUTIQUE
Louis Sclavis Sextet,Ellington On The Air,IDA Records,IDA 032 CD,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
Louis Sclavis Trio,Ceux Qui Veillent La Nuit,Label Bleu,LBLC 6596,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
Madlib Wit' Frank Nitty,"Channel 85 Presents Nittyville, Season 1",Madlib Invazion,MMS009,"2xLP, Album",25.0,Mint (M),Mint (M),460,
Masada (3),Gimel,DIW,DIW-890,"CD, Album",24.0,Mint (M),Near Mint (NM or M-),85,
Mats Gustafsson,Parrot Fish Eye,"Okka Disk, Okka Disk","OD12006, OD 12006","CD, Album",12.0,Mint (M),Mint (M),85,BOX1/BOUTIQUE
Naked City,Live Volume 1: Knitting Factory 1989,Tzadik,TZ 7336,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,John Zorn
Naked Prey,Naked Prey,Enigma Records (3),4D-282,"LP, Album",12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Ne Zhdali = Ne Zhdali,"Whatever Happens, Twist! = Воздух-Земля",RecRec Music,RecDec 67,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,box2/boutique
Oui Oui,La Ville,Fnac Music,597039,"7"", Single",9.0,Near Mint (NM or M-),Very Good Plus (VG+),60,
Palinckx,"Spam, Scores & Encores",Vonk,VONK 10,"CD, Comp",10.0,Mint (M),Near Mint (NM or M-),85,BOX1/BOUTIQUE
Paul Bley,Tears,"Owl Records (4), Owl Records (4)","OWL034CD, owl034cd","CD, Album, RE",20.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
Peter Brötzmann Group,Fuck De Boere (Dedicated To Johnny Dyani),"Atavistic, Atavistic","ALP211CD, ums/alp211cd","CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
R.E.M. / Coal Porters Featuring Sid Griffin,Academy Fight Song / Watching Bluegrass Burn,Bucketfull Of Brains,BOB.32,"7"", Single, Promo",7.0,Near Mint (NM or M-),Very Good Plus (VG+),60,
Radio 4,Eyes Wide Open,"City Slang, Labels",7243 546744 7 1,"7"", MP",4.0,Very Good Plus (VG+),Very Good Plus (VG+),60,
Raymond Boni,"L'oiseau, L'arbre, Le Béton",Futura Records (2),FUTURA SON 01,"CD, Album, RE",12.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
The Replacements,Don't Tell A Soul,"Sire, Reprise Records",925 831-1,"LP, Album",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Ruf Der Heimat,Erste Heimat,Konnex Records,KCD 5067,"CD, Album",28.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
Sainkho,Letters,Leo Records,CD LR 190,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Sainkho,"Like A Bird Or Spirit, Not A Face",Ponderosa Music & Art,CD 131,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,"bo2/bout
"
Serge Franklin,Free Sitar,Monde Melody,MM 3346,"LP, RE",15.0,Fair (F),Very Good (VG),230,
Serge Gainsbourg,La Chanson De Prévert,Philips,6620016,"2xLP, Comp, RE, Gat",20.0,Near Mint (NM or M-),Very Good Plus (VG+),460,
Shelley Hirsch,O Little Town Of East New York,Tzadik,TZ 7104,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Shelley Hirsch / David Weinstein,Haiku Lingo,Review Records,rere 139cd,"CD, Album",7.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Small (2),True Zero Hook,Alias,A-050,LP,12.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Sonny Rollins,The Solo Album,Milestone (4),68.172,"LP, Album",18.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
The Sonora Pine,II,Quarterstick Records,QS 47,"LP, Album",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
"Squadra, Compagnia Del Trallalero",Italie: Polyphonie Genoise,Buda Records,92514-2,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Thelonious Monk Trio,Thelonious Monk Trio,Barclay,74036,"7"", EP",8.0,Good Plus (G+),Very Good Plus (VG+),60,
Tim Berne's Caos Totale,Pace Yourself,"JMT, JMT, JMT","834 442-2, JMT 834 442-2, cd jmt 834 442-2","CD, Album",7.0,Mint (M),Very Good Plus (VG+),85,Bo1/Boutique
Various,Bush Taxi Mali: Field Recordings From Mali,Sublime Frequencies,SF012,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Various,Disco Bhangra - Wedding Bands From Rajasthan,Avant,Avan 031,"CD, Album, Comp",8.0,Mint (M),Near Mint (NM or M-),85,"Box5/boutique
"
Various,Radio Palestine: Sounds Of The Eastern Mediterranean,Sublime Frequencies,SF008,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box5/boutique
Various,Radio Sumatra: The Indonesian FM Experience,Sublime Frequencies,SF021,"CD, Comp",11.0,Mint (M),Near Mint (NM or M-),85,Box5/Boutique
Various,Saetas - Cante De La Semana Santa Andaluza,Auvidis Ethnic,B 6785,CD,8.0,Mint (M),Near Mint (NM or M-),85,
Wild Honey (2),Torres Blancas,Lovemonk,LMNK59LP,"LP, Album",17.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
4Walls,Which Side Are You On,"Red Note, Red Note","Red Note 11, RN 11","CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,
AALY Trio + Ken Vandermark,Hidden In The Stomach,Silkheart,SHCD 149,CD,15.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
"Ahmet Özden (2) , & Kumpanya Istanbul",Fanfare Tsigane De Thrace,Buda Musique,82247-2,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
