artist,title,label,catno,format,price,media_condition,sleeve_condition,weight,place
Paul Motian Trio 2000 + Two,Live At The Village Vanguard Vol 1,Winter & Winter,910 133-2,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,
"Paul Motian, Chris Potter (2), Jason Moran",Lost In A Dream,"ECM Records, ECM Records","ECM 2128, 273 2132","CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,
Santana,Caravanserai,"Columbia, Columbia, Legacy, Legacy","511128 2, 5111282000","CD, Album, RE, RM",5.0,Mint (M),Very Good Plus (VG+),85,
Sonny Rollins,A Night At The Village Vanguard,Blue Note,7243 4 99795 2 9,"2xCD, Comp, RE, RM",8.0,Mint (M),Near Mint (NM or M-),170,
Sonny Rollins,Newk's Time,Blue Note,7243 5 76752 2 2,"CD, Album, Copy Prot., RE, RM",6.0,Mint (M),Near Mint (NM or M-),85,
Sonny Rollins,Old Flames,Milestone (4),MCD-9215-2,"CD, Album",7.0,Mint (M),Near Mint (NM or M-),85,
Sonny Rollins,Tenor Titan,Bluebird (3),82876 51421 2,"CD, Comp",8.0,Mint (M),Near Mint (NM or M-),85,
Sonny Rollins,Worktime,"Original Jazz Classics, Prestige, Carrere",99968,"CD, Album, RE",10.0,Mint (M),Near Mint (NM or M-),85,
Sonny Rollins And Coleman Hawkins,Sonny Meets Hawk!,BMG France,74321748002,"CD, Album, RE, RM, Dig",8.0,Mint (M),Near Mint (NM or M-),85,
Tiny Bell Trio,Constellations,hatOLOGY,hatOLOGY 542,"CD, Album, RE, Dig",9.0,Mint (M),Near Mint (NM or M-),85,
Various,Jazzwerkstatt,Jazzwerkstatt,jw100,"CD, Comp",8.0,Mint (M),Near Mint (NM or M-),85,
Wayne Shorter,Juju,Blue Note,7243 4 99005 2 3,"CD, Album, RE, RM",8.0,Mint (M),Near Mint (NM or M-),85,
Aerosmith,Rocks,Columbia,474965 2,"CD, Album, RE, RM",5.0,Mint (M),Near Mint (NM or M-),85,
Albert Collins,Iceman,"Pointblank, Pointblank","VPBCD 3, 261 318","CD, Album",5.0,Mint (M),Very Good Plus (VG+),85,
Albert Collins And The Icebreakers,Don't Lose Your Cool,Alligator Records,ALCD 4730,"CD, Album, RE",12.0,Mint (M),Near Mint (NM or M-),85,
Albert Collins And The Icebreakers,Live '92 - '93,Pointblank,7243 8 40658 2 9 VPBCD27,"CD, Album",5.0,Mint (M),Very Good Plus (VG+),85,
Albert King,King Of The Blues Guitar,Atlantic,CD 8213,"CD, Comp, RM",8.0,Mint (M),Near Mint (NM or M-),85,
Anthony Braxton,Solo (Pisa) 1982,Golden Years Of New Jazz,GY 28,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Anthony Braxton & Walter Frank,4 Improvisations (Duets) 2004,Leo Records,CD LR 429/430,"2xCD, Album",12.0,Mint (M),Near Mint (NM or M-),170,
"Anthony Braxton, Chick Corea, Jack DeJohnette, Pat Metheny, Lee Konitz, Miroslav Vitous",The Song Is You,Douglas:,AD-09,"2xCD, Album",9.0,Mint (M),Near Mint (NM or M-),170,
Battista Lena,Banda Sonora,Label Bleu,LBLC 6591,"CD, Album",5.0,Mint (M),Near Mint (NM or M-),85,
